target_id	tercile	pdb	ligands	center_x	center_y	center_z	n_mol2s
P07237	mid	3UEM_A.pdb	CHEMBL1434798_b.mol2,CHEMBL3184286_b.mol2,CHEMBL4438947_b.mol2,CHEMBL4472807_b.mol2,CHEMBL4524387_b.mol2,CHEMBL4564932_b.mol2,CHEMBL4744354_b.mol2,CHEMBL4749634_b.mol2,CHEMBL4777232_b.mol2,CHEMBL4790355_b.mol2	0.22	3.73	11.04	10
P08679	mid	8GR9_A.pdb	CHEMBL1362878_b.mol2,CHEMBL1408438_b.mol2,CHEMBL1461679_b.mol2,CHEMBL1461991_b.mol2,CHEMBL1490738_b.mol2,CHEMBL1505372_b.mol2,CHEMBL1522211_b.mol2,CHEMBL1550794_b.mol2,CHEMBL1559079_b.mol2,CHEMBL1576158_b.mol2	-16.51	3.42	-6.54	10
P08686	mid	4Y8W_B.pdb	CHEMBL1921976_b.mol2,CHEMBL254328_b.mol2,CHEMBL4127378_b.mol2,CHEMBL4127656_b.mol2,CHEMBL4127969_b.mol2,CHEMBL4128640_b.mol2,CHEMBL4129428_b.mol2,CHEMBL4209941_b.mol2,CHEMBL4210141_b.mol2,CHEMBL4210737_b.mol2	9.36	3.92	1.56	10
P09936	top	8EDE_A.pdb	CHEMBL1241765_b.mol2,CHEMBL1923233_b.mol2,CHEMBL3407553_b.mol2,CHEMBL4802050_b.mol2,CHEMBL5169766_b.mol2,CHEMBL5185124_b.mol2,CHEMBL537225_b.mol2,CHEMBL540117_b.mol2	3.69	-5.95	-9.37	8
P10599	bottom	5DQY_A.pdb	CHEMBL2315288_b.mol2,CHEMBL2315290_b.mol2,CHEMBL2315292_b.mol2,CHEMBL2315295_b.mol2,CHEMBL2315297_b.mol2,CHEMBL2315299_b.mol2,CHEMBL2315305_b.mol2,CHEMBL2315306_b.mol2,CHEMBL406050_b.mol2	5.65	10.24	4.24	9
P11166	mid	5EQG_A.pdb	CHEMBL106525_b.mol2,CHEMBL3781447_b.mol2,CHEMBL4285833_b.mol2,CHEMBL50588_b.mol2,CHEMBL528694_b.mol2,CHEMBL532808_b.mol2,CHEMBL546309_b.mol2,CHEMBL548545_b.mol2,CHEMBL582666_b.mol2,CHEMBL588501_b.mol2	-1.6	6.01	2.29	10
P11274	top	5OC7_D.pdb	CHEMBL1289601_b.mol2,CHEMBL1421_b.mol2,CHEMBL1908397_b.mol2,CHEMBL2180604_b.mol2,CHEMBL3128043_b.mol2,CHEMBL3545085_b.mol2,CHEMBL400402_b.mol2,CHEMBL434335_b.mol2,CHEMBL491473_b.mol2,CHEMBL553_b.mol2	2.36	-29.81	0.46	10
P13807	bottom	7Q13_A.pdb	CHEMBL2381135_b.mol2,CHEMBL2381138_b.mol2,CHEMBL2381149_b.mol2,CHEMBL2381158_b.mol2,CHEMBL3219420_b.mol2,CHEMBL3219430_b.mol2,CHEMBL3909790_b.mol2,CHEMBL3916911_b.mol2,CHEMBL3932900_b.mol2,CHEMBL3951499_b.mol2	2.8	1.67	0.82	10
P14672	bottom	7WSM_A.pdb	CHEMBL3092944_b.mol2,CHEMBL4061928_b.mol2,CHEMBL4089982_b.mol2,CHEMBL411729_b.mol2,CHEMBL4276751_b.mol2,CHEMBL4277734_b.mol2,CHEMBL4278295_b.mol2,CHEMBL4281299_b.mol2,CHEMBL4284217_b.mol2,CHEMBL4284811_b.mol2	0.68	1.98	-1.01	10
P16473	bottom	7XW6_R.pdb	CHEMBL1315387_b.mol2,CHEMBL1370580_b.mol2,CHEMBL211405_b.mol2,CHEMBL3891546_b.mol2,CHEMBL3897841_b.mol2,CHEMBL5267043_b.mol2,CHEMBL5268512_b.mol2,CHEMBL5270771_b.mol2,CHEMBL5275472_b.mol2,CHEMBL5285769_b.mol2	-13.46	-13.9	12.93	10
P17405	mid	5I85_A.pdb	CHEMBL11_b.mol2,CHEMBL254832_b.mol2,CHEMBL4160348_b.mol2,CHEMBL4161092_b.mol2,CHEMBL4167496_b.mol2,CHEMBL4167681_b.mol2,CHEMBL4175734_b.mol2,CHEMBL4449978_b.mol2,CHEMBL4462822_b.mol2,CHEMBL4464068_b.mol2	2.35	-1.86	-5.52	10
P18440	mid	2IJA_A.pdb	CHEMBL2047717_b.mol2,CHEMBL3262049_b.mol2,CHEMBL3262055_b.mol2,CHEMBL3262056_b.mol2,CHEMBL3262059_b.mol2,CHEMBL3262061_b.mol2,CHEMBL3262084_b.mol2,CHEMBL3262086_b.mol2,CHEMBL3262087_b.mol2,CHEMBL457919_b.mol2	7.42	3.37	4.66	10
P18858	top	7SX5_A.pdb	CHEMBL375078_b.mol2,CHEMBL467192_b.mol2,CHEMBL467373_b.mol2,CHEMBL468589_b.mol2,CHEMBL468590_b.mol2	-11.22	-3.54	9.82	5
P21549	mid	5F9S_B.pdb	CHEMBL3763469_b.mol2,CHEMBL3763498_b.mol2,CHEMBL3764023_b.mol2,CHEMBL3764222_b.mol2,CHEMBL3764351_b.mol2,CHEMBL3764504_b.mol2,CHEMBL3765186_b.mol2,CHEMBL3765396_b.mol2,CHEMBL3765807_b.mol2,CHEMBL5170947_b.mol2	0.93	-1.06	-1.31	10
P21980	bottom	6A8P_C.pdb	CHEMBL1605548_b.mol2,CHEMBL1770521_b.mol2,CHEMBL180643_b.mol2,CHEMBL2086470_b.mol2,CHEMBL2086529_b.mol2,CHEMBL2089389_b.mol2,CHEMBL2152199_b.mol2,CHEMBL3423193_b.mol2,CHEMBL3923158_b.mol2,CHEMBL3987140_b.mol2	15.05	-10.73	-18.03	10
P22888	mid	7FIH_R.pdb	CHEMBL1651721_b.mol2,CHEMBL2032175_b.mol2,CHEMBL211405_b.mol2,CHEMBL377769_b.mol2,CHEMBL4458424_b.mol2,CHEMBL4551301_b.mol2,CHEMBL4573509_b.mol2	-14.8	5.01	15.45	7
P25021	top	7UL3_A.pdb	CHEMBL102331_b.mol2,CHEMBL1123_b.mol2,CHEMBL1915534_b.mol2,CHEMBL222142_b.mol2,CHEMBL2432062_b.mol2,CHEMBL360791_b.mol2,CHEMBL4457754_b.mol2,CHEMBL4740135_b.mol2,CHEMBL4875600_b.mol2,CHEMBL60383_b.mol2	7.88	-2.68	-8.24	10
P25929	mid	5ZBQ_A.pdb	CHEMBL1079440_b.mol2,CHEMBL1311570_b.mol2,CHEMBL1348426_b.mol2,CHEMBL1393538_b.mol2,CHEMBL1452153_b.mol2,CHEMBL1499276_b.mol2,CHEMBL1563162_b.mol2,CHEMBL17441_b.mol2,CHEMBL2112936_b.mol2,CHEMBL330095_b.mol2	-12.11	0.03	6.49	10
P27695	mid	7TC2_C.pdb	CHEMBL109037_b.mol2,CHEMBL1443537_b.mol2,CHEMBL1597042_b.mol2,CHEMBL187266_b.mol2,CHEMBL4205877_b.mol2,CHEMBL4216803_b.mol2,CHEMBL462260_b.mol2,CHEMBL504500_b.mol2,CHEMBL568994_b.mol2,CHEMBL571611_b.mol2	-12.7	5.15	12.97	10
P28065	top	7AWE_H.pdb	CHEMBL270515_b.mol2,CHEMBL325041_b.mol2,CHEMBL3319605_b.mol2,CHEMBL4101256_b.mol2,CHEMBL4458350_b.mol2,CHEMBL4641615_b.mol2,CHEMBL4854647_b.mol2,CHEMBL4867231_b.mol2	15.02	3.29	-1.07	8
P29401	mid	4KXW_A.pdb	CHEMBL252843_b.mol2,CHEMBL253044_b.mol2,CHEMBL255340_b.mol2,CHEMBL256454_b.mol2,CHEMBL256831_b.mol2,CHEMBL270168_b.mol2,CHEMBL270632_b.mol2,CHEMBL272095_b.mol2,CHEMBL402566_b.mol2,CHEMBL403365_b.mol2	-8.4	18.93	9.73	10
P30122	bottom	1AQL_A.pdb	CHEMBL107171_b.mol2,CHEMBL150472_b.mol2,CHEMBL151182_b.mol2,CHEMBL153687_b.mol2,CHEMBL275989_b.mol2,CHEMBL301989_b.mol2,CHEMBL347069_b.mol2,CHEMBL444837_b.mol2	-9.99	-6.02	0.24	8
P31213	mid	7BW1_A.pdb	CHEMBL108625_b.mol2,CHEMBL138225_b.mol2,CHEMBL174294_b.mol2,CHEMBL2172650_b.mol2,CHEMBL2311155_b.mol2,CHEMBL278390_b.mol2,CHEMBL309261_b.mol2,CHEMBL356780_b.mol2,CHEMBL37348_b.mol2,CHEMBL47785_b.mol2	7.07	-2.54	-6.12	10
P32249	mid	7TUY_R.pdb	CHEMBL3262876_b.mol2,CHEMBL3262883_b.mol2,CHEMBL3262895_b.mol2,CHEMBL3559902_b.mol2,CHEMBL3560195_b.mol2,CHEMBL3560331_b.mol2,CHEMBL3560453_b.mol2,CHEMBL3560541_b.mol2,CHEMBL3560897_b.mol2,CHEMBL3561495_b.mol2	-8.04	-3.11	9.82	10
P33905	top	1L3L_C.pdb	CHEMBL1823931_b.mol2,CHEMBL405298_b.mol2,CHEMBL456052_b.mol2,CHEMBL467396_b.mol2,CHEMBL468624_b.mol2,CHEMBL473592_b.mol2,CHEMBL501141_b.mol2,CHEMBL509975_b.mol2,CHEMBL573744_b.mol2,CHEMBL573745_b.mol2	6.85	7.89	-2.59	10
P34969	top	7XTC_R.pdb	CHEMBL1086754_b.mol2,CHEMBL1914488_b.mol2,CHEMBL2159480_b.mol2,CHEMBL267014_b.mol2,CHEMBL3289972_b.mol2,CHEMBL3759593_b.mol2,CHEMBL4205349_b.mol2,CHEMBL4516999_b.mol2,CHEMBL478680_b.mol2,CHEMBL51_b.mol2	-3.81	-2.66	14.8	10
P35414	bottom	7SUS_A.pdb	CHEMBL1366012_b.mol2,CHEMBL2158275_b.mol2,CHEMBL3818101_b.mol2,CHEMBL4632913_b.mol2,CHEMBL4636169_b.mol2,CHEMBL4639908_b.mol2,CHEMBL4848469_b.mol2,CHEMBL4856612_b.mol2,CHEMBL4865532_b.mol2,CHEMBL4873340_b.mol2	5.86	3.68	-9.87	10
P35869	mid	7ZUB_D.pdb	CHEMBL1213905_b.mol2,CHEMBL136335_b.mol2,CHEMBL1404230_b.mol2,CHEMBL1483899_b.mol2,CHEMBL1527352_b.mol2,CHEMBL1577852_b.mol2,CHEMBL259571_b.mol2,CHEMBL3319498_b.mol2,CHEMBL472031_b.mol2,CHEMBL5198934_b.mol2	14.9	6.0	-24.09	10
P40763	mid	6NJS_A.pdb	CHEMBL1231124_b.mol2,CHEMBL1339432_b.mol2,CHEMBL1391158_b.mol2,CHEMBL1443482_b.mol2,CHEMBL1492655_b.mol2,CHEMBL1541720_b.mol2,CHEMBL1580974_b.mol2,CHEMBL1726793_b.mol2,CHEMBL3628036_b.mol2,CHEMBL4564280_b.mol2	23.92	11.77	-34.6	10
P42356	top	6BQ1_E.pdb	CHEMBL1229535_b.mol2,CHEMBL3121325_b.mol2,CHEMBL3600685_b.mol2,CHEMBL3600688_b.mol2,CHEMBL3600691_b.mol2,CHEMBL3600698_b.mol2,CHEMBL3600701_b.mol2,CHEMBL3600766_b.mol2,CHEMBL3600768_b.mol2,CHEMBL3600774_b.mol2	39.31	29.44	-33.89	10
P43088	top	8IUK_R.pdb	CHEMBL173299_b.mol2,CHEMBL240436_b.mol2,CHEMBL334398_b.mol2,CHEMBL360869_b.mol2,CHEMBL36817_b.mol2,CHEMBL37853_b.mol2,CHEMBL3904644_b.mol2,CHEMBL39784_b.mol2,CHEMBL426559_b.mol2,CHEMBL4739939_b.mol2	-1.91	1.46	12.25	10
P47898	top	7UM5_A.pdb	CHEMBL101138_b.mol2,CHEMBL13816_b.mol2,CHEMBL2204360_b.mol2,CHEMBL267615_b.mol2,CHEMBL278509_b.mol2,CHEMBL3644534_b.mol2,CHEMBL401745_b.mol2,CHEMBL446459_b.mol2,CHEMBL5083607_b.mol2,CHEMBL536335_b.mol2	-2.46	0.24	12.05	10
P49019	bottom	8IHJ_R.pdb	CHEMBL1671877_b.mol2,CHEMBL202427_b.mol2,CHEMBL2036958_b.mol2,CHEMBL235168_b.mol2,CHEMBL237296_b.mol2,CHEMBL237739_b.mol2,CHEMBL238387_b.mol2,CHEMBL382863_b.mol2,CHEMBL396382_b.mol2,CHEMBL439028_b.mol2	9.68	4.18	-5.27	10
P49789	mid	5FIT_A.pdb	CHEMBL1520857_b.mol2,CHEMBL5075611_b.mol2,CHEMBL5076149_b.mol2,CHEMBL5078205_b.mol2,CHEMBL5081769_b.mol2,CHEMBL5083166_b.mol2,CHEMBL5093727_b.mol2	-1.27	8.9	2.07	7
P50406	top	7YS6_A.pdb	CHEMBL1043_b.mol2,CHEMBL131495_b.mol2,CHEMBL186621_b.mol2,CHEMBL2207768_b.mol2,CHEMBL3233665_b.mol2,CHEMBL3669647_b.mol2,CHEMBL3787508_b.mol2,CHEMBL4202947_b.mol2,CHEMBL460194_b.mol2,CHEMBL5187317_b.mol2	4.39	-3.35	-9.8	10
P53985	bottom	7CKO_A.pdb	CHEMBL1221509_b.mol2,CHEMBL204772_b.mol2,CHEMBL219098_b.mol2,CHEMBL219861_b.mol2,CHEMBL3326256_b.mol2,CHEMBL3582419_b.mol2,CHEMBL3582501_b.mol2,CHEMBL380192_b.mol2,CHEMBL3819278_b.mol2,CHEMBL387125_b.mol2	-0.54	0.01	4.44	10
P54289	bottom	8IF3_A.pdb	CHEMBL1059_b.mol2,CHEMBL1801192_b.mol2,CHEMBL201801_b.mol2,CHEMBL202489_b.mol2,CHEMBL278347_b.mol2,CHEMBL370873_b.mol2,CHEMBL382053_b.mol2,CHEMBL4750920_b.mol2,CHEMBL4847873_b.mol2,CHEMBL4862495_b.mol2	14.65	-0.59	-5.99	10
P54292	top	7R3G_A.pdb	CHEMBL4098007_b.mol2,CHEMBL4292339_b.mol2,CHEMBL5266949_b.mol2,CHEMBL5267863_b.mol2,CHEMBL5291457_b.mol2	-8.69	-4.95	5.93	5
P56192	mid	4BVX_A.pdb	CHEMBL2159525_b.mol2,CHEMBL2159527_b.mol2,CHEMBL2159535_b.mol2,CHEMBL2159537_b.mol2,CHEMBL304562_b.mol2,CHEMBL307342_b.mol2,CHEMBL308349_b.mol2,CHEMBL442177_b.mol2,CHEMBL60402_b.mol2,CHEMBL69993_b.mol2	-5.99	20.75	41.06	10
P56726	bottom	6O3C_A.pdb	CHEMBL1084301_b.mol2,CHEMBL2152371_b.mol2,CHEMBL3889851_b.mol2,CHEMBL3922446_b.mol2,CHEMBL3944996_b.mol2,CHEMBL3960935_b.mol2,CHEMBL4090942_b.mol2,CHEMBL4282915_b.mol2,CHEMBL4551454_b.mol2,CHEMBL4642917_b.mol2	3.07	5.56	-4.28	10
P59540	bottom	7XP6_R.pdb	CHEMBL227934_b.mol2,CHEMBL434_b.mol2,CHEMBL4446651_b.mol2,CHEMBL4582048_b.mol2,CHEMBL499003_b.mol2,CHEMBL86416_b.mol2	9.31	5.31	-11.82	6
P78348	bottom	7CFS_C.pdb	CHEMBL1800430_b.mol2,CHEMBL3577296_b.mol2,CHEMBL5267106_b.mol2,CHEMBL5276647_b.mol2,CHEMBL5283083_b.mol2,CHEMBL5285672_b.mol2	20.49	-2.57	-37.28	6
P96618	bottom	1F7L_A.pdb	CHEMBL130657_b.mol2,CHEMBL130832_b.mol2,CHEMBL132388_b.mol2,CHEMBL371442_b.mol2,CHEMBL373194_b.mol2,CHEMBL383810_b.mol2	-8.67	7.69	-12.91	6
P9WQ77	mid	2CJG_A.pdb	CHEMBL4204475_b.mol2,CHEMBL4209746_b.mol2,CHEMBL4210409_b.mol2,CHEMBL4213368_b.mol2,CHEMBL4214659_b.mol2,CHEMBL4225131_b.mol2,CHEMBL4227571_b.mol2,CHEMBL4227828_b.mol2	-3.83	3.39	0.33	8
Q07794	mid	2ZFN_A.pdb	CHEMBL1331211_b.mol2,CHEMBL1790038_b.mol2,CHEMBL3235890_b.mol2,CHEMBL3416313_b.mol2,CHEMBL3416318_b.mol2,CHEMBL3416323_b.mol2,CHEMBL3416331_b.mol2,CHEMBL3416524_b.mol2,CHEMBL3416535_b.mol2,CHEMBL3416546_b.mol2	-4.44	4.16	16.87	10
Q10469	bottom	5VCM_A.pdb	CHEMBL2376306_b.mol2,CHEMBL2376314_b.mol2,CHEMBL2376329_b.mol2,CHEMBL3581719_b.mol2,CHEMBL3581738_b.mol2,CHEMBL3736366_b.mol2,CHEMBL3911856_b.mol2,CHEMBL3926254_b.mol2,CHEMBL3938073_b.mol2,CHEMBL3964709_b.mol2	-5.54	-1.13	-12.03	10
Q13191	bottom	8GCY_A.pdb	CHEMBL5069583_b.mol2,CHEMBL5074602_b.mol2,CHEMBL5076762_b.mol2,CHEMBL5078383_b.mol2,CHEMBL5079950_b.mol2,CHEMBL5083553_b.mol2,CHEMBL5085450_b.mol2,CHEMBL5086675_b.mol2,CHEMBL5088609_b.mol2,CHEMBL5090613_b.mol2	-3.64	-9.08	-0.09	10
Q13418	bottom	3REP_A.pdb	CHEMBL1368744_b.mol2,CHEMBL3680991_b.mol2,CHEMBL3681001_b.mol2,CHEMBL3681019_b.mol2,CHEMBL3685646_b.mol2,CHEMBL3685667_b.mol2,CHEMBL3685688_b.mol2,CHEMBL3685699_b.mol2,CHEMBL3685713_b.mol2,CHEMBL3685729_b.mol2	-6.8	7.92	-17.31	10
Q14973	top	7ZYI_A.pdb	CHEMBL121_b.mol2,CHEMBL1551_b.mol2,CHEMBL182301_b.mol2,CHEMBL27_b.mol2,CHEMBL5279244_b.mol2	5.6	3.82	7.72	5
Q15717	mid	4ED5_A.pdb	CHEMBL1240928_b.mol2,CHEMBL1240971_b.mol2,CHEMBL1242196_b.mol2,CHEMBL227075_b.mol2,CHEMBL4075458_b.mol2,CHEMBL4095060_b.mol2,CHEMBL4095140_b.mol2,CHEMBL50_b.mol2	-14.78	6.31	-5.24	8
Q15831	top	2WTK_F.pdb	CHEMBL1231124_b.mol2,CHEMBL1721885_b.mol2,CHEMBL1908397_b.mol2,CHEMBL2035187_b.mol2,CHEMBL2103840_b.mol2,CHEMBL3128043_b.mol2,CHEMBL3545085_b.mol2,CHEMBL3545137_b.mol2,CHEMBL388978_b.mol2,CHEMBL475251_b.mol2	-8.39	0.66	7.03	10
Q5JUK3	bottom	8HKQ_A.pdb	CHEMBL4740667_b.mol2,CHEMBL4744290_b.mol2,CHEMBL4759833_b.mol2,CHEMBL4763955_b.mol2,CHEMBL4779088_b.mol2,CHEMBL4789512_b.mol2,CHEMBL4793291_b.mol2,CHEMBL5218475_b.mol2,CHEMBL5218502_b.mol2,CHEMBL5219121_b.mol2	-37.83	-23.71	32.25	10
Q5NUL3	bottom	8G59_R.pdb	CHEMBL1581959_b.mol2,CHEMBL234057_b.mol2,CHEMBL3311198_b.mol2,CHEMBL3786418_b.mol2,CHEMBL3910333_b.mol2,CHEMBL3940429_b.mol2,CHEMBL3954140_b.mol2,CHEMBL4070359_b.mol2,CHEMBL4093589_b.mol2,CHEMBL4238809_b.mol2	-2.49	1.17	9.97	10
Q6DWJ6	bottom	7VUH_R.pdb	CHEMBL1460960_b.mol2,CHEMBL3633893_b.mol2,CHEMBL4745432_b.mol2,CHEMBL4751501_b.mol2,CHEMBL4756392_b.mol2,CHEMBL4764506_b.mol2,CHEMBL4784744_b.mol2,CHEMBL4789123_b.mol2,CHEMBL4792561_b.mol2,CHEMBL4798933_b.mol2	-8.37	-11.31	7.14	10
Q6N021	bottom	5DEU_A.pdb	CHEMBL1230640_b.mol2,CHEMBL4855677_b.mol2,CHEMBL4859276_b.mol2,CHEMBL5193408_b.mol2,CHEMBL5205660_b.mol2	-0.72	1.86	-2.09	5
Q70CQ3	bottom	5OHK_A.pdb	CHEMBL4435487_b.mol2,CHEMBL4443923_b.mol2,CHEMBL4448886_b.mol2,CHEMBL4456761_b.mol2,CHEMBL4463590_b.mol2,CHEMBL4474205_b.mol2,CHEMBL4519777_b.mol2,CHEMBL4537237_b.mol2,CHEMBL4553485_b.mol2,CHEMBL4571247_b.mol2	-8.89	2.84	-20.54	10
Q86UE8	top	5O0Y_A.pdb	CHEMBL1721885_b.mol2,CHEMBL1908397_b.mol2,CHEMBL388978_b.mol2,CHEMBL475251_b.mol2,CHEMBL5188455_b.mol2,CHEMBL5204542_b.mol2,CHEMBL5205578_b.mol2,CHEMBL522892_b.mol2,CHEMBL535_b.mol2,CHEMBL603469_b.mol2	1.01	-1.62	-5.62	10
Q8BHY3	mid	7ZK3_A.pdb	CHEMBL1505295_b.mol2,CHEMBL4074929_b.mol2,CHEMBL4080525_b.mol2,CHEMBL4104747_b.mol2,CHEMBL4747471_b.mol2,CHEMBL4781948_b.mol2,CHEMBL4784760_b.mol2,CHEMBL4791938_b.mol2,CHEMBL4796667_b.mol2	2.27	-2.56	-22.6	9
